Description,flights,can_rate
AirTran Airways Corporation,92360,0.02114551754006063
Alaska Airlines Inc.,51900,0.03450867052023121
Aloha Airlines Inc.,2113,0.01893043066729768
American Airlines Inc.,156409,0.07741881861018228
American Eagle Airlines Inc.,145006,0.09892694095416742
Atlantic Southeast Airlines,96787,0.04445844999845021
Comair Inc.,97329,0.05680732361372253
Continental Air Lines Inc.,80488,0.029432958950402544
Delta Air Lines Inc.,133924,0.04008243481377498
Expressjet Airlines Inc.,157253,0.04806903524893007
Frontier Airlines Inc.,28876,0.008415292976866603
Hawaiian Airlines Inc.,14032,0.023446408209806157
JetBlue Airways,81784,0.03399197887117285
Mesa Airlines Inc.,116634,0.07178009842755971
Northwest Airlines Inc.,121188,0.021091197148232498
Pinnacle Airlines Inc.,140286,0.04751721483255635
Skywest Airlines Inc.,208786,0.049998563122048416
Southwest Airlines Co.,320910,0.02765261288211648
US Airways Inc.,139371,0.039247763164503374
United Air Lines Inc.,134176,0.06795552110660624
